314: BillyAndrade 73.267229; 90% interval: (64.528283, 89.556969)
315: DavidMathis 73.286312; 90% interval: (63.255728, 98.957670)
316: DannyEllis 73.350384; 90% interval: (57.086014, 79.450111)
317: StanUtley 73.498993; 90% interval: (63.281257, 79.367950)
318: MattKuchar 73.514975; 90% interval: (69.229887, 77.938681)
319: OlinBrowne 73.626314; 90% interval: (66.963064, 83.717605)
320: ThongchaiJaidee 73.626795; 90% interval: (66.198888, 78.149014)
321: BrandtJobe 73.724117; 90% interval: (61.816136, 83.502835)
322: DarrenFichardt 73.735451; 90% interval: (64.690617, 82.176053)
323: HunterMahan 73.744739; 90% interval: (63.107126, 91.245328)
324: RolandThatcher 73.746081; 90% interval: (68.433758, 77.814922)
325: PatPerez 73.760025; 90% interval: (68.282686, 80.244579)
326: JohnDaly 73.887686; 90% interval: (59.288817, 84.413993)
327: BarryLane 73.896959; 90% interval: (69.975078, 81.575526)
328: TetsujiHiratsuka 73.920773; 90% interval: (66.190076, 80.669752)
329: BradFabel 73.984736; 90% interval: (68.994543, 79.634792)
330: RaphaelJacquelin 74.063715; 90% interval: (68.537585, 81.163947)
331: DanHalldorson 74.077312; 90% interval: (69.968042, 80.450584)
332: BrandtSnedeker 74.093758; 90% interval: (60.556016, 83.566051)
333: ZaneZwemke 74.150749; 90% interval: (68.638124, 100.308451)
334: BrandonKnaub 74.219507; 90% interval: (64.020112, 83.810142)
335: JohnRollins 74.267590; 90% interval: (61.063588, 82.216772)
336: MarkEvenson 74.293443; 90% interval: (58.024444, 79.728233)
337: EliZackheim 74.299696; 90% interval: (63.015255, 84.031789)
338: RichardScott 74.302870; 90% interval: (69.671663, 79.892775)
339: SteveFlesch 74.352521; 90% interval: (67.973016, 81.412716)
340: BillBritton 74.480213; 90% interval: (60.159368, 84.022400)
341: HidetoTanihara 74.493627; 90% interval: (68.081911, 82.365580)
342: BryceMolder 74.504220; 90% interval: (68.217546, 78.629115)
343: RaymondFloyd 74.512743; 90% interval: (65.413538, 85.216559)
344: BartBryant 74.541712; 90% interval: (65.915415, 84.012013)
345: KeithClearwater 74.593743; 90% interval: (68.497089, 89.637361)
346: MarcoRuiz 74.725392; 90% interval: (59.008520, 94.279337)
347: TimFleming 74.754958; 90% interval: (69.293060, 103.052834)
348: RobertDamron 74.771926; 90% interval: (67.947583, 82.746558)
349: BruceSmith 74.791998; 90% interval: (67.649462, 93.466074)
350: PeterJacobsen 74.846755; 90% interval: (65.910427, 78.910430)
351: ArjunAtwal 74.924027; 90% interval: (67.899523, 84.011446)
352: KevinHaefner 74.940957; 90% interval: (67.949912, 90.960325)
353: PeteJordan 74.961716; 90% interval: (70.102826, 82.929410)
354: JonMills 75.092603; 90% interval: (70.999697, 80.293381)
355: PhilBlackmar 75.149367; 90% interval: (68.029190, 82.128445)
356: MikeLavery 75.160075; 90% interval: (65.921943, 80.821500)
357: JustinHicks 75.170877; 90% interval: (67.382432, 81.576734)
358: JimmyWalker 75.189005; 90% interval: (62.916159, 84.498087)
359: JohnDouma 75.251193; 90% interval: (65.597837, 81.269891)
360: MikeSmall 75.332477; 90% interval: (65.805944, 82.109612)
361: ErikCompton 75.356487; 90% interval: (63.408216, 96.402813)
362: MattWeibring 75.362090; 90% interval: (61.058706, 85.432133)
363: DennisPaulson 75.386498; 90% interval: (63.152768, 86.882172)
364: MikeHeinen 75.436406; 90% interval: (66.676134, 90.708507)
365: BernhardLanger 75.476133; 90% interval: (69.051947, 84.784621)
366: GlenHnatiuk 75.481781; 90% interval: (70.984964, 81.912256)
367: LarryRinker 75.595114; 90% interval: (67.980816, 80.885494)
368: JimSchouller,Jr. 75.656266; 90% interval: (68.867949, 96.732033)
369: RogerMaltbie 75.685426; 90% interval: (66.985659, 82.182924)
370: PhilTataurangi 75.722394; 90% interval: (70.368773, 85.853286)
371: RickyBarnes 75.736510; 90% interval: (69.994526, 80.801758)
372: RobertHamilton 75.751120; 90% interval: (69.542219, 87.712672)
373: HalSutton 75.802007; 90% interval: (68.627096, 92.408091)
374: BobAckerman 75.826354; 90% interval: (61.116591, 87.425655)
375: ChrisHeinz 75.880888; 90% interval: (69.404922, 83.087075)
376: JoseCoceres 75.900477; 90% interval: (66.929551, 82.759950)
377: KevinHayashi 75.966514; 90% interval: (69.555502, 82.186039)
378: SamRandolph 76.012237; 90% interval: (68.638529, 83.167329)
379: ScottVerplank 76.120081; 90% interval: (70.523393, 90.561077)
380: StevePate 76.151201; 90% interval: (69.813004, 87.704666)
381: DannyBriggs 76.233286; 90% interval: (70.065137, 81.012440)
382: ScottWeatherly 76.260025; 90% interval: (64.937750, 93.343074)
383: MattSeppanen 76.284072; 90% interval: (67.110197, 84.909016)
384: ScottSimpson 76.292762; 90% interval: (67.086565, 92.264014)
385: DarrenWallace 76.339824; 90% interval: (61.912391, 85.580743)
386: MarkO'Meara 76.553300; 90% interval: (69.491412, 83.436789)
387: JonTurcott 76.657116; 90% interval: (59.202044, 93.803372)
388: JamesLepp 76.726329; 90% interval: (70.489100, 84.844912)
